X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
3.531930,44.536980,8,80,1,86
3.948230,44.246280,8,80,1,256
3.397670,48.761300,8,80,1,289
4.672740,49.030070,8,80,2,252
5.006670,48.679890,8,80,1,46
-0.625490,48.267250,8,80,1,352
6.048900,48.976440,8,80,1,352
6.161160,48.715400,8,80,1,228
6.169400,48.641000,8,80,1,131
6.188840,48.663030,8,80,1,23
5.330290,49.579760,8,80,1,122
6.009100,49.309280,8,80,1,34
6.606110,49.269440,8,80,1,54
6.944720,49.198890,8,80,1,72
7.366020,49.046570,8,80,1,283
7.578060,48.970080,8,80,1,335
3.075030,50.616280,8,80,1,269
3.083930,50.625720,8,80,1,162
3.084850,50.614730,8,80,1,136
3.099380,50.605490,8,80,1,312
3.111260,50.599730,8,80,1,80
3.126390,50.601260,8,80,1,261
3.380160,50.138030,8,80,1,280
3.460070,50.169280,8,80,1,42
2.397270,49.631470,8,80,1,264
2.761200,49.225500,8,80,1,81
0.326390,48.823150,8,80,1,48
1.651650,50.729270,8,80,1,262
1.658620,50.730570,8,80,1,257
2.717430,50.435020,8,80,1,15
3.031420,50.249370,8,80,2,332
-0.846350,43.510900,8,80,1,268
0.519230,43.080580,8,80,1,94
7.676530,48.876510,8,80,1,139
7.562600,47.575420,8,80,1,128
4.387470,45.664190,8,80,1,26
4.923200,45.794190,8,80,1,251
4.927160,45.802040,8,80,1,340
5.176930,46.748960,8,80,0,0
5.313030,46.715580,8,80,0,0
5.948080,45.563760,8,80,1,339
5.964320,45.794780,8,80,1,42
6.007600,45.512090,8,80,1,42
5.923590,46.016880,8,80,2,114
6.036190,45.965510,8,80,1,146
6.808690,45.961230,8,80,2,34
6.947090,46.051170,8,80,1,60
1.757360,49.462980,8,80,1,283
2.017220,48.738060,8,80,1,63
2.386500,50.210000,8,80,1,351
6.798970,47.741870,8,80,1,7
2.815780,49.761950,8,80,1,359
2.504840,49.640460,8,80,0,0
1.803970,43.581060,8,80,1,79
2.070090,43.557780,8,80,1,270
2.311670,44.117860,8,80,1,266
5.780090,43.392270,8,80,1,83
6.599580,43.363020,8,80,1,333
5.405780,43.755440,8,80,1,117
7.071810,48.296330,8,80,1,3
7.092870,48.330800,8,80,2,144
7.107700,48.343970,8,80,1,343
3.523270,47.567280,8,80,1,151
3.535710,47.517910,8,80,1,43
3.544030,47.886940,8,80,1,35
3.991380,47.486050,8,80,0,0
2.308270,48.682170,8,80,2,213
6.833330,47.506670,8,110,2,63
-1.570970,48.171480,8,110,2,50
-0.035810,47.304420,8,110,1,15
6.121370,48.699000,8,110,1,50
7.555810,48.351420,8,110,1,231
7.552330,47.583170,8,110,1,324
2.587420,48.834240,8,110,1,99
2.613490,48.830200,8,110,1,276
2.699710,48.830180,8,110,1,98
1.838800,48.671410,8,110,1,192
6.911110,47.646390,8,110,1,242
2.165600,48.727060,8,110,1,173
2.172070,48.716500,8,110,1,321
5.815100,46.119450,8,0,2,23
3.250650,49.644340,8,0,1,248
5.781320,43.959680,8,0,1,284
6.366390,43.951890,8,0,0,0
6.563770,44.797740,8,0,2,34
6.918430,43.649820,8,0,1,250
6.930440,43.481920,8,0,1,216
7.001500,43.604330,8,0,1,116
7.007920,43.604770,8,0,1,87
4.667220,49.751740,8,0,1,256
1.840550,42.719350,8,0,1,357
1.840560,42.714380,8,0,1,176
4.096720,48.259820,8,0,1,321
2.971800,43.017890,8,0,2,146
5.703150,43.482530,8,0,1,261
-0.323300,49.180100,8,0,1,320
-0.296300,49.167800,8,0,1,108
0.719860,45.876260,8,0,1,4
0.669770,46.015330,8,0,1,0
2.829810,47.267920,8,0,1,351
2.457850,45.646570,8,0,1,80
4.571020,47.853060,8,0,2,202
5.267250,47.138010,8,0,1,23
5.266940,47.137500,8,0,1,0
-2.911690,48.401360,8,0,2,210
-2.692980,48.482780,8,0,1,92
0.693160,45.093550,8,0,2,17
0.887690,44.962160,8,0,1,220
1.254400,44.993760,8,0,1,98
6.317430,47.342470,8,0,2,56
6.325440,47.345890,8,0,2,74
6.617770,47.075790,8,0,2,360
6.634380,47.082710,8,0,1,75
4.100310,44.668830,8,0,1,127
1.080820,48.403040,8,0,1,65
1.702510,48.216390,8,0,0,0
-4.521660,48.042620,8,0,2,277
-4.435920,47.993080,8,0,1,170
-4.420020,47.992170,8,0,1,246
-4.370010,47.968910,8,0,1,355
-4.229880,47.930440,8,0,2,53
3.880000,44.103790,8,0,1,293
4.344520,43.655150,8,0,1,245
4.383110,43.669760,8,0,1,249
4.432370,43.674200,8,0,1,142
4.430420,43.676110,8,0,1,143
3.938180,44.075050,8,0,0,0
0.570990,43.084300,8,0,2,297
1.748710,43.469770,8,0,0,0
0.462890,43.501650,8,0,2,3
-0.593020,45.132910,8,0,1,357
-0.114750,44.585530,8,0,2,50
3.480820,43.481460,8,0,1,291
4.920790,45.509850,8,0,1,217
-1.210620,43.571680,8,0,1,280
0.781910,47.748060,8,0,2,56
1.438970,47.647630,8,0,2,60
4.137460,45.965570,8,0,1,279
4.182850,45.738380,8,0,2,80
4.218660,45.743210,8,0,1,83
4.232610,45.644170,8,0,2,89
4.341390,45.915940,8,0,1,135
3.786800,46.216370,8,0,1,116
4.352370,45.481870,8,0,1,89
4.496150,45.471490,8,0,1,104
4.353130,45.481970,8,0,1,261
4.216530,45.742990,8,0,2,82
0.532700,44.652420,8,0,1,29
3.196520,44.443470,8,0,1,63
3.278370,44.483410,8,0,0,0
-1.662470,49.576610,8,0,2,180
-1.494710,48.779490,8,0,2,317
3.536880,48.721030,8,0,1,322
3.537880,48.720120,8,0,2,85
5.960450,48.572120,8,0,2,45
5.367570,49.160160,8,0,1,195
6.282640,48.842210,8,0,2,8
3.159990,46.979800,8,0,2,12
3.142870,50.676160,8,0,1,133
3.215470,50.113960,8,0,2,140
3.242200,50.527140,8,0,1,298
3.243510,50.173310,8,0,1,310
3.263700,50.493100,8,0,2,17
3.343510,50.185530,8,0,2,84
3.671210,50.058050,8,0,2,159
1.609420,50.485860,8,0,1,278
1.613390,50.455800,8,0,2,172
1.647470,50.407910,8,0,2,181
0.083430,43.203120,8,0,2,86
2.061640,42.484840,8,0,1,153
7.467280,48.463210,8,0,1,101
7.495720,48.433220,8,0,1,296
7.495750,48.433440,8,0,1,222
7.627660,48.577150,8,0,1,325
7.484400,48.462320,8,0,2,264
7.667530,48.576130,8,0,1,29
7.483440,48.460540,8,0,1,117
7.478800,48.462050,8,0,1,162
7.750910,48.591640,8,0,1,80
7.746190,48.591730,8,0,2,347
7.757220,48.582360,8,0,1,210
6.773080,47.382120,8,0,1,336
7.469360,48.398070,8,0,0,0
7.455080,48.638950,8,0,0,0
7.486020,48.457630,8,0,0,0
7.478500,48.498370,8,0,0,0
7.725960,48.615330,8,0,0,0
4.874170,45.740000,8,0,2,3
6.632750,47.700420,8,0,1,346
6.632890,47.699850,8,0,1,168
6.633380,47.699000,8,0,1,148
0.167950,48.013910,8,0,2,104
1.099420,49.505060,8,0,1,350
2.069470,48.798010,8,0,2,47
2.095770,48.939450,8,0,2,351
6.840310,47.623690,8,0,1,52
5.980110,43.113070,8,0,2,7
-1.134200,46.807780,8,0,1,115
0.886260,45.880680,8,0,1,123
0.897050,45.882000,8,0,1,280
0.897920,45.878740,8,0,1,77
0.898860,45.879180,8,0,1,47
0.877420,45.888210,8,0,1,272
3.688410,47.682600,8,0,1,344
2.291080,48.692590,8,0,1,239
2.477460,48.592570,8,0,1,354
