X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
-3.560340,47.862520,4,110,1,270
4.003742,43.663498,4,110,1,218
3.839542,43.566514,4,110,1,247
3.841310,43.566740,4,110,1,67
4.003864,43.663430,4,110,1,37
-1.760480,48.242410,4,110,1,167
-1.737180,48.209490,4,110,1,167
4.325720,45.859850,4,110,1,106
4.495860,45.869730,4,110,1,66
0.709160,44.339070,4,110,1,344
0.717890,44.366130,4,110,1,343
-2.359670,47.919770,4,110,1,77
-2.322950,47.930530,4,110,1,59
3.158700,46.939430,4,110,1,209
3.155960,46.897790,4,110,1,190
2.909740,50.655080,4,110,1,115
2.942510,50.636800,4,110,1,129
4.559500,46.739150,4,110,1,107
4.626260,46.738520,4,110,1,63
1.318460,45.960940,4,110,1,357
1.338230,46.002280,4,110,1,354
2.255470,48.629250,4,110,1,304
2.221130,48.633970,4,110,1,287
2.217550,48.634330,4,110,1,104
2.255990,48.628670,4,110,1,130
1.937620,49.080280,4,110,1,303
1.936520,49.080730,4,110,1,303
1.983740,49.063560,4,110,1,113
2.000730,49.058860,4,110,1,113
-0.605450,45.430290,4,130,1,177
-0.600970,45.380530,4,130,1,147
1.512530,45.461470,4,130,1,205
1.543420,45.406810,4,130,1,93
1.657440,43.302420,4,130,1,320
1.613780,43.381730,4,130,1,47
5.387650,45.541680,4,130,1,309
5.359040,45.554290,4,130,1,305
3.164950,50.599370,4,130,1,91
3.238290,50.602000,4,130,1,98
3.239120,50.602030,4,130,1,278
3.166840,50.599460,4,130,1,271
6.177980,46.003580,4,130,1,60
6.239030,46.035780,4,130,1,42
-0.119510,46.415120,4,130,1,255
-0.246020,46.366710,4,130,1,262
6.444690,43.413550,4,130,1,278
6.376280,43.401770,4,130,1,267
6.376280,43.401770,4,130,1,87
6.444690,43.413550,4,130,1,98
